province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
,Barbados,27/06/2021,"13,1939","-59,5432",POINT(-59.5432 13.1939),4075,47,3998,30,,,Barbados
,Belarus,27/06/2021,"53,7098","27,9534",POINT(27.9534 53.7098),415339,3113,408307,3919,,,Belarus
Antwerp,Belgium,27/06/2021,"51,2195","4,4024",POINT(4.4024 51.2195),140949,0,0,140949,,,"Antwerp, Belgium"
Brussels,Belgium,27/06/2021,"50,8503","4,3517",POINT(4.3517 50.8503),133184,0,0,133184,,,"Brussels, Belgium"
East Flanders,Belgium,27/06/2021,"51,0362","3,7373",POINT(3.7373 51.0362),123874,0,0,123874,,,"East Flanders, Belgium"
Flemish Brabant,Belgium,27/06/2021,"50,9167","4,5833",POINT(4.5833 50.9167),82353,0,0,82353,,,"Flemish Brabant, Belgium"
Hainaut,Belgium,27/06/2021,"50,5257","4,0621",POINT(4.0621 50.5257),159320,0,0,159320,,,"Hainaut, Belgium"
Liege,Belgium,27/06/2021,"50,4496","5,8492",POINT(5.8492 50.4496),130951,0,0,130951,,,"Liege, Belgium"
Limburg,Belgium,27/06/2021,"50,9739","5,342",POINT(5.342 50.9739),60992,0,0,60992,,,"Limburg, Belgium"
Luxembourg,Belgium,27/06/2021,"50,0547","5,4677",POINT(5.4677 50.0547),31199,0,0,31199,,,"Luxembourg, Belgium"
Namur,Belgium,27/06/2021,"50,331","4,8221",POINT(4.8221 50.331),59739,0,0,59739,,,"Namur, Belgium"
Unknown,Belgium,27/06/2021,,,,20906,25160,0,-4254,,,"Unknown, Belgium"
Walloon Brabant,Belgium,27/06/2021,"50,4","4,35",POINT(4.35 50.4),41565,0,0,41565,,,"Walloon Brabant, Belgium"
West Flanders,Belgium,27/06/2021,"51,0536","3,1458",POINT(3.1458 51.0536),97444,0,0,97444,,,"West Flanders, Belgium"
,Belize,27/06/2021,"17,1899","-88,4976",POINT(-88.4976 17.1899),13137,329,12612,196,,,Belize
,Benin,27/06/2021,"9,3077","2,3158",POINT(2.3158 9.3077),8170,104,8000,66,,,Benin
,Bhutan,27/06/2021,"27,5142","90,4336",POINT(90.4336 27.5142),2052,1,1747,304,,,Bhutan
,Bolivia,27/06/2021,"-16,2902","-63,5887",POINT(-63.5887 -16.2902),433935,16581,354569,62785,,,Bolivia
,Bosnia and Herzegovina,27/06/2021,"43,9159","17,6791",POINT(17.6791 43.9159),204945,9655,181725,13565,,,Bosnia and Herzegovina
,Botswana,27/06/2021,"-22,3285","24,6849",POINT(24.6849 -22.3285),67492,1095,61341,5056,,,Botswana
Acre,Brazil,27/06/2021,"-9,0238","-70,812",POINT(-70.812 -9.0238),85463,1736,79431,4296,,,"Acre, Brazil"
Alagoas,Brazil,27/06/2021,"-9,5713","-36,782",POINT(-36.782 -9.5713),214509,5281,202571,6657,,,"Alagoas, Brazil"
Amapa,Brazil,27/06/2021,"0,902","-52,003",POINT(-52.003 0.902),116708,1824,94183,20701,,,"Amapa, Brazil"
Amazonas,Brazil,27/06/2021,"-3,4168","-65,8561",POINT(-65.8561 -3.4168),400781,13271,341700,45810,,,"Amazonas, Brazil"
Bahia,Brazil,27/06/2021,"-12,5797","-41,7007",POINT(-41.7007 -12.5797),1119127,23739,1075250,20138,,,"Bahia, Brazil"
Ceara,Brazil,27/06/2021,"-5,4984","-39,3206",POINT(-39.3206 -5.4984),880418,22442,617960,240016,,,"Ceara, Brazil"
Distrito Federal,Brazil,27/06/2021,"-15,7998","-47,8645",POINT(-47.8645 -15.7998),428352,9193,406811,12348,,,"Distrito Federal, Brazil"
Espirito Santo,Brazil,27/06/2021,"-19,1834","-40,3089",POINT(-40.3089 -19.1834),514907,11417,487628,15862,,,"Espirito Santo, Brazil"
Goias,Brazil,27/06/2021,"-15,827","-49,8362",POINT(-49.8362 -15.827),671057,18988,639805,12264,,,"Goias, Brazil"
Maranhao,Brazil,27/06/2021,"-4,9609","-45,2744",POINT(-45.2744 -4.9609),315104,8962,271202,34940,,,"Maranhao, Brazil"
Mato Grosso,Brazil,27/06/2021,"-12,6819","-56,9211",POINT(-56.9211 -12.6819),445653,11722,423781,10150,,,"Mato Grosso, Brazil"
Mato Grosso do Sul,Brazil,27/06/2021,"-20,7722","-54,7852",POINT(-54.7852 -20.7722),333050,8089,307563,17398,,,"Mato Grosso do Sul, Brazil"
Minas Gerais,Brazil,27/06/2021,"-18,5122","-44,555",POINT(-44.555 -18.5122),1786654,45888,1652502,88264,,,"Minas Gerais, Brazil"
Para,Brazil,27/06/2021,"-1,9981","-54,9306",POINT(-54.9306 -1.9981),549528,15406,513108,21014,,,"Para, Brazil"
Paraiba,Brazil,27/06/2021,"-7,24","-36,782",POINT(-36.782 -7.24),391811,8538,249641,133632,,,"Paraiba, Brazil"
Parana,Brazil,27/06/2021,"-25,2521","-52,0215",POINT(-52.0215 -25.2521),1269017,30445,874746,363826,,,"Parana, Brazil"
Pernambuco,Brazil,27/06/2021,"-8,8137","-36,9541",POINT(-36.9541 -8.8137),546537,17551,454676,74310,,,"Pernambuco, Brazil"
Piaui,Brazil,27/06/2021,"-7,7183","-42,7289",POINT(-42.7289 -7.7183),294818,6531,283852,4435,,,"Piaui, Brazil"
Rio Grande do Norte,Brazil,27/06/2021,"-5,4026","-36,9541",POINT(-36.9541 -5.4026),336217,6722,150649,178846,,,"Rio Grande do Norte, Brazil"
Rio Grande do Sul,Brazil,27/06/2021,"-30,0346","-51,2177",POINT(-51.2177 -30.0346),1209799,31117,1153797,24885,,,"Rio Grande do Sul, Brazil"
Rio de Janeiro,Brazil,27/06/2021,"-22,9068","-43,1729",POINT(-43.1729 -22.9068),951360,55181,883613,12566,,,"Rio de Janeiro, Brazil"
Rondonia,Brazil,27/06/2021,"-11,5057","-63,5806",POINT(-63.5806 -11.5057),246818,6113,230656,10049,,,"Rondonia, Brazil"
Roraima,Brazil,27/06/2021,"-2,7376","-62,0751",POINT(-62.0751 -2.7376),111720,1731,102722,7267,,,"Roraima, Brazil"
Santa Catarina,Brazil,27/06/2021,"-27,2423","-50,2189",POINT(-50.2189 -27.2423),1046141,16706,1003492,25943,,,"Santa Catarina, Brazil"
